"# Robo-Greeno Data A -> Embedded: front_left leg joint angles, wave/tripod walk"
"# source: ShiriStern/wave-walk (config.py + hexapod_ik.py + demo_wave_walk.py), 50 Hz, one full GAIT_PERIOD=1.4s"
"# leg=front_left mount=+45deg | links coxa/femur/tibia = 0.04/0.08/0.13 m | sign: coxa+ ->+Y, femur+ ->up, tibia 0=straight"
"# limits deg: coxa[-50,50] femur[-90,120] tibia[-170,20]"
step,t_s,phase,coxa_rad,femur_rad,tibia_rad,coxa_deg,femur_deg,tibia_deg,fk_err_m
0,0.0,swing,0.263011,0.999341,-2.583029,15.069,57.258,-147.997,4.29e-17
1,0.02,swing,0.210101,0.999499,-2.562459,12.038,57.267,-146.818,5.11e-17
2,0.04,swing,0.160587,0.99828,-2.53952,9.201,57.197,-145.504,1.97e-17
3,0.06,swing,0.11437,0.995535,-2.514293,6.553,57.04,-144.058,1.43e-17
4,0.08,swing,0.071311,0.991174,-2.486867,4.086,56.79,-142.487,3.10e-17
5,0.1,swing,0.031241,0.985152,-2.457343,1.79,56.445,-140.795,4.17e-17
6,0.12,swing,-0.006024,0.977467,-2.425819,-0.345,56.005,-138.989,8.44e-17
7,0.14,swing,-0.040677,0.968141,-2.392395,-2.331,55.47,-137.074,3.93e-17
8,0.16,swing,-0.072908,0.957215,-2.357161,-4.177,54.844,-135.055,0.00e+00
9,0.18,swing,-0.102901,0.944743,-2.320202,-5.896,54.13,-132.938,5.58e-17
10,0.2,swing,-0.130833,0.930782,-2.28159,-7.496,53.33,-130.725,3.11e-17
11,0.22,swing,-0.15687,0.915392,-2.241388,-8.988,52.448,-128.422,1.39e-17
12,0.24,stance,-0.171648,0.90096,-2.214255,-9.835,51.621,-126.867,1.43e-17
13,0.26,stance,-0.16679,0.904278,-2.22259,-9.556,51.811,-127.345,1.43e-17
14,0.28,stance,-0.161864,0.907542,-2.230864,-9.274,51.998,-127.819,5.56e-17
